Drink_name,Size,Calories,Sugar,Caffeine
28 Black Energy Drink,8.46,125,30,3.55
3 Water,16.9,0,0,0.00
3D Energy Drink,16,15,0,0.00
4 Purpose Energy Drink,8.46,70,18,2.13
4C Energy Drink Mix,16.9,15,0,0.00
5 Hour Energy,1.93,4,0,0.00
5 Hour Energy Extra Strength,1.93,0,0,0.00
7 Eleven Brewed Coffee,16,5,0,0.00
7-Eleven Energy Shot,2,0,0,0.00
7-Up,12,140,38,3.17
A&W Cream Soda,12,170,46,3.83
A&W Root Beer,12,170,46,3.83
A&W Zero Sugar Cream Soda,12,0,0,0.00
ABB Turbo Tea Zero,18,0,0,0.00
Adrenaline Shoc,16,10,0,0.00
Advocare Slam Energy Shot,2,10,0,0.00
Advocare Slim,8,0,0,0.00
Afri Cola,11.16,139,35,3.14
AHA Sparkling Water,12,0,0,0.00
Alani Nu Energy Drink,12,10,0,0.00
Ale 8 1,12,120,30,2.50
ALL IN Energy Drink,12,25,4,0.33
Alpine Start Instant Coffee,8,0,0,0.00
Alsa Energy Drink Mix,16,30,7,0.44
Americano Coffee,12,5,0,0.00
Amino Force Energy Drink,22,0,0,0.00
Arbonne Energy Fizz Stck,8,15,2,0.25
Arby's Jamocha Shake,16,830,116,7.25
Arizona Arnold Palmer Half and Half,16.9,180,44,2.60
Arizona Energy Drink Rx,11.5,130,30,2.61
Arizona Iced Tea,16,190,47,2.94
Arti Sparkling Water,12,0,0,0.00
AXIO Energy Drink Mix,12,0,0,0.00
Bai Antioxidant Infusion,18,10,1,0.06
Bai Boost,11.47,10,1,0.09
Balance Active Shot,2,80,12,6.00
Balance Energy Shot,2,77,15,7.50
Bang Energy,16,0,0,0.00
Bang Keto Coffee,16,130,1,0.06
Bang Natural,16,0,0,0.00
Bang Shot,3,0,0,0.00
Bang Sweet Tea,16,0,0,0.00
Barista Bros Iced Coffee,16.91,204,20,1.18
Barqs Red Creme Soda,12,170,45,3.75
Barqs Root Beer,12,160,44,3.67
Baskin Robbins Cappuccino Blast,24,470,57,2.38
Bawls,16,190,46,2.88
