Drink_name,Serving Size,Sugar Per Serving Size,Caffeine Per Serving Size
28 Black Energy Drink,240ml,30g,3.55mg
3 Water,480ml,0g,0mg
3D Energy Drink,455ml,0g,0mg
4 Purpose Energy Drink,240ml,18g,2.13mg
4C Energy Drink Mix,480ml,0g,0mg
5 Hour Energy,55ml,0g,0mg
5 Hour Energy Extra Strength,55ml,0g,0mg
7 Eleven Brewed Coffee,455ml,0g,0mg
7-Eleven Energy Shot,57ml,0g,0mg
7-Up,341ml,38g,3.17mg
A&W Cream Soda,341ml,46g,3.83mg
A&W Root Beer,341ml,46g,3.83mg
A&W Zero Sugar Cream Soda,341ml,0g,0mg
ABB Turbo Tea Zero,511ml,0g,0mg
Adrenaline Shoc,455ml,0g,0mg
Advocare Slam Energy Shot,57ml,0g,0mg
Advocare Slim,227ml,0g,0mg
Afri Cola,317ml,35g,3.14mg
AHA Sparkling Water,341ml,0g,0mg
Alani Nu Energy Drink,341ml,0g,0mg
Ale 8 1,341ml,30g,2.5mg
ALL IN Energy Drink,341ml,4g,0.33mg
Alpine Start Instant Coffee,227ml,0g,0mg
Alsa Energy Drink Mix,455ml,7g,0.44mg
Americano Coffee,341ml,0g,0mg
Amino Force Energy Drink,625ml,0g,0mg
Arbonne Energy Fizz Stck,227ml,2g,0.25mg
Arby's Jamocha Shake,455ml,116g,7.25mg
Arizona Arnold Palmer Half and Half,480ml,44g,2.6mg
Arizona Energy Drink Rx,327ml,30g,2.61mg
Arizona Iced Tea,455ml,47g,2.94mg
Arti Sparkling Water,341ml,0g,0mg
AXIO Energy Drink Mix,341ml,0g,0mg
Bai Antioxidant Infusion,511ml,1g,0.06mg
Bai Boost,326ml,1g,0.09mg
Balance Active Shot,57ml,12g,6mg
Balance Energy Shot,57ml,15g,7.5mg
Bang Energy,455ml,0g,0mg
Bang Keto Coffee,455ml,1g,0.06mg
Bang Natural,455ml,0g,0mg
Bang Shot,85ml,0g,0mg
Bang Sweet Tea,455ml,0g,0mg
Barista Bros Iced Coffee,480ml,20g,1.18mg
Barqs Red Creme Soda,341ml,45g,3.75mg
Barqs Root Beer,341ml,44g,3.67mg
Baskin Robbins Cappuccino Blast,682ml,57g,2.38mg
Bawls,455ml,46g,2.88mg
Beaver Buzz Energy Drink,455ml,63g,3.94mg
BEEBAD Energy Drink,240ml,28g,3.31mg
Berocca,227ml,0g,0mg
Berzerk Energy Drink Mix,455ml,0g,0mg
Best Choice Strawberry Energy Drink Mix,227ml,0g,0mg
Big Red Soda,341ml,38g,3.17mg
Big Train Java Chip Ice Coffee,341ml,42g,3.5mg
Big Train Spiced Chai,227ml,36g,4.5mg
Bigelow Tea,227ml,0g,0mg
Biggby Brewed Coffee,455ml,0g,0mg
Biggby Creamy Lattes,455ml,50g,3.12mg
Biggby Espresso,57ml,0g,0mg
Biggby Iced Coffee,455ml,0g,0mg
Biggby Iced Tea,455ml,0g,0mg
Bing Energy Drink,341ml,9g,0.75mg
Biohazard Coffee,341ml,0g,0mg
